"";"distrito";"tipo_accidente";"estado_meteorologico";"tipo_vehiculo";"tipo_persona";"rango_edad";"sexo";"positiva_alcohol";"positiva_droga";"grado_lesividad";"categoria_lesividad";"mes";"partes_dia"
"18";"CARABANCHEL";"Colisión lateral";"Despejado";"Turismo";"Pasajero";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"19";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"January";"Mañana"
"20";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"21";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"31";"CHAMARTÍN";"Colisión frontal";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"32";"CHAMARTÍN";"Colisión frontal";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"33";"CHAMARTÍN";"Colisión frontal";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"34";"CHAMARTÍN";"Colisión frontal";"Despejado";"Turismo";"Pasajero";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"35";"PUENTE DE VALLECAS";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"38";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Todo terreno";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"39";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Todo terreno";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"40";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana"
"42";"PUENTE DE VALLECAS";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"43";"CIUDAD LINEAL";"Alcance";"Despejado";"Turismo";"Conductor";"Desconocido";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"44";"CIUDAD LINEAL";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"45";"RETIRO";"Alcance";"Desconocido";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"46";"RETIRO";"Alcance";"Desconocido";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"47";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Furgoneta";"Conductor";"De 45 a 49 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"48";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Tarde"
"49";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Tarde"
"50";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Tarde"
"54";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche"
"55";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"Desconocido";"Desconocido";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"58";"VILLAVERDE";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"59";"VILLAVERDE";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"60";"MONCLOA-ARAVACA";"Caída";"Despejado";"Ciclomotor";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"January";"Noche"
"67";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Madrugada"
"68";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Madrugada"
"69";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Madrugada"
"70";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Madrugada"
"71";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"72";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"73";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"74";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Pasajero";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"75";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Pasajero";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"January";"Tarde"
"76";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Pasajero";"De 60 a 64 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"77";"SAN BLAS-CANILLEJAS";"Colisión frontal";"Despejado";"Bicicleta";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana"
"78";"SAN BLAS-CANILLEJAS";"Colisión frontal";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"80";"LATINA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"81";"PUENTE DE VALLECAS";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"82";"PUENTE DE VALLECAS";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"January";"Mañana"
"83";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"84";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana"
"85";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"86";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana"
"87";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"88";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"91";"CIUDAD LINEAL";"Colisión fronto-lateral";"Despejado";"Camión rígido";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"92";"CIUDAD LINEAL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"93";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde"
"94";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"95";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"1";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde"
"96";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"97";"CENTRO";"Colisión lateral";"Despejado";"Furgoneta";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"98";"CENTRO";"Colisión lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"January";"Tarde"
"99";"CENTRO";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"100";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"Desconocido";"Desconocido";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
