"";"distrito";"tipo_accidente";"estado_meteorologico";"tipo_vehiculo";"tipo_persona";"rango_edad";"sexo";"positiva_alcohol";"positiva_droga";"grado_lesividad";"categoria_lesividad";"mes";"partes_dia";"coordenada_x_utm";"coordenada_y_utm"
"18";"CARABANCHEL";"Colisión lateral";"Despejado";"Turismo";"Pasajero";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";436671,67;4470229,71
"19";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"January";"Mañana";443728,8;4475524,85
"20";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";443728,8;4475524,85
"21";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";443728,8;4475524,85
"31";"CHAMARTÍN";"Colisión frontal";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";441546,36;4478277,22
"32";"CHAMARTÍN";"Colisión frontal";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";441546,36;4478277,22
"33";"CHAMARTÍN";"Colisión frontal";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";441546,36;4478277,22
"34";"CHAMARTÍN";"Colisión frontal";"Despejado";"Turismo";"Pasajero";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";441546,36;4478277,22
"35";"PUENTE DE VALLECAS";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";442100,83;4469582,15
"38";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Todo terreno";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";439683,32;4471490,46
